version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 458575205409 eni-09faf44014196404b 86.54.31.34 10.0.1.215 29011 5005 6 1 44 1789610812 1789610830 ACCEPT OK
2 458575205409 eni-09faf44014196404b 147.185.133.152 10.0.1.215 52032 12443 6 1 44 1789610812 1789610830 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 66.132.186.68 10.0.2.88 58387 2363 17 1 42 1789610839 1789610839 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 35.203.211.146 10.0.2.88 50802 9132 6 1 44 1789610831 1789610842 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 - - - - - - - 1789610831 1789610842 - SKIPDATA
2 458575205409 eni-007e9247c3198bc26 34.193.119.44 10.0.2.88 34229 2096 6 1 40 1789610849 1789610856 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 167.94.145.22 10.0.2.88 30410 1201 6 1 60 1789610849 1789610856 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 184.105.247.219 10.0.2.88 38774 7047 6 1 40 1789610849 1789610856 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 198.46.134.48 10.0.2.88 4018 23 6 1 40 1789610841 1789610842 ACCEPT OK
2 458575205409 eni-09faf44014196404b 47.80.68.74 10.0.1.215 59998 23 6 2 80 1789610818 1789610838 ACCEPT OK
2 458575205409 eni-09faf44014196404b 144.202.82.88 10.0.1.215 61234 443 6 1 44 1789610818 1789610838 ACCEPT OK
2 458575205409 eni-09faf44014196404b 24.199.126.56 10.0.1.215 26200 86 6 1 44 1789610846 1789610859 ACCEPT OK
2 458575205409 eni-09faf44014196404b 147.182.202.179 10.0.1.215 26200 9089 6 1 44 1789610846 1789610859 ACCEPT OK
2 458575205409 eni-09faf44014196404b 172.212.106.112 10.0.1.215 42762 1521 6 1 52 1789610846 1789610859 ACCEPT OK
2 458575205409 eni-09faf44014196404b 8.209.90.93 10.0.1.215 58287 8887 6 1 52 1789610831 1789610843 ACCEPT OK
2 458575205409 eni-09faf44014196404b 130.12.180.246 10.0.1.215 63757 11477 6 1 40 1789610831 1789610843 ACCEPT OK
2 458575205409 eni-09faf44014196404b 137.184.190.194 10.0.1.215 29011 7657 6 1 44 1789610831 1789610843 ACCEPT OK
2 458575205409 eni-09faf44014196404b 162.216.150.197 10.0.1.215 55081 4413 6 1 44 1789610843 1789610843 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 85.239.147.3 10.0.2.88 53314 9090 6 1 40 1789610854 1789610872 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 147.185.132.71 10.0.2.88 53529 46114 6 1 44 1789610854 1789610872 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 147.185.132.209 10.0.2.88 54923 36510 6 1 44 1789610854 1789610872 ACCEPT OK
2 458575205409 eni-09faf44014196404b 85.217.149.58 10.0.1.215 40986 8008 6 1 52 1789610853 1789610866 ACCEPT OK
2 458575205409 eni-09faf44014196404b 137.184.13.100 10.0.1.215 26200 9166 6 1 44 1789610853 1789610866 ACCEPT OK
2 458575205409 eni-09faf44014196404b 147.185.133.154 10.0.1.215 50438 9623 6 1 44 1789610853 1789610866 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 66.132.186.58 10.0.2.88 15567 8636 6 1 60 1789610854 1789610879 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 66.132.186.119 10.0.2.88 39905 6004 6 1 60 1789610854 1789610879 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 85.217.149.72 10.0.2.88 47904 16007 6 1 52 1789610854 1789610879 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 216.25.89.84 10.0.2.88 50632 460 6 1 44 1789610854 1789610879 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 45.148.10.188 10.0.2.88 50827 5985 6 1 40 1789610873 1789610882 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 64.62.156.86 10.0.2.88 28010 3283 17 1 33 1789610873 1789610882 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 130.12.180.246 10.0.2.88 57717 11477 6 1 40 1789610873 1789610882 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 195.182.16.23 10.0.2.88 49236 81 6 1 40 1789610873 1789610882 ACCEPT OK
